	a	brief
and	immediately	made
immediately	made	it
made	it	their
it	their	capital
their	capital	renaming
capital	renaming	it
renaming	it	istanbul
it	istanbul	they
istanbul	they	then
they	then	set
then	set	their
set	their	sights
their	sights	on
sights	on	the
on	the	islands
the	islands	of
islands	of	the
of	the	knights
the	knights	of
knights	of	st
of	st	john
st	john	and
john	and	after
and	after	an
after	an	unsuccessful
an	unsuccessful	siege
unsuccessful	siege	in
siege	in	1480
in	1480	they
1480	they	finally
they	finally	ejected
finally	ejected	the
ejected	the	knights
the	knights	from
knights	from	the
from	the	dodecanese
the	dodecanese	in
dodecanese	in	1522
in	1522	in
1522	in	1566
in	1566	they
1566	they	wrested
they	wrested	chios
wrested	chios	from
chios	from	the
from	the	genoese
the	genoese	bolstering
genoese	bolstering	their
bolstering	their	hold
their	hold	on
hold	on	the
on	the	eastern
the	eastern	aegean
eastern	aegean	islands
aegean	islands	but
islands	but	the
but	the	cyclades
the	cyclades	remained
cyclades	remained	in
remained	in	venetian
in	venetian	hands
venetian	hands	for
hands	for	another
for	another	generation
another	generation	or
generation	or	more
or	more	tinos
more	tinos	was
tinos	was	the
was	the	last
the	last	to
last	to	fall
to	fall	in
fall	in	1715
in	1715	the
1715	the	ottomans
the	ottomans	brought
ottomans	brought	new
brought	new	influences
new	influences	to
influences	to	the
to	the	islands
the	islands	that
islands	that	they
that	they	controlled
they	controlled	forming
controlled	forming	a
forming	a	large
a	large	empire
large	empire	that
empire	that	stretched
that	stretched	around
stretched	around	the
around	the	eastern
the	eastern	mediterranean
eastern	mediterranean	toward
mediterranean	toward	greek
toward	greek	independence
greek	independence	however
independence	however	a
however	a	movement
a	movement	was
movement	was	growing
was	growing	on
growing	on	the
on	the	greek
the	greek	peninsula
greek	peninsula	against
peninsula	against	ottoman
against	ottoman	rule
ottoman	rule	and
rule	and	for
and	for	an
for	an	independent
an	independent	greek
independent	greek	state
greek	state	in
state	in	1770
in	1770	russia
1770	russia	came
russia	came	to
came	to	aid
to	aid	the
aid	the	greeks
the	greeks	defined
greeks	defined	by
defined	by	their
by	their	orthodox
their	orthodox	religion
orthodox	religion	rather
religion	rather	than
rather	than	by
than	by	historical
by	historical	geographical
historical	geographical	boundaries
geographical	boundaries	declaring
boundaries	declaring	war
declaring	war	on
war	on	the
on	the	ottoman
the	ottoman	empire
ottoman	empire	and
empire	and	occupying
and	occupying	several
occupying	several	aegean
several	aegean	islands
aegean	islands	until
islands	until	1774
until	1774	graffiti
1774	graffiti	written
graffiti	written	by
written	by	russian
by	russian	soldiers
russian	soldiers	can
soldiers	can	be
can	be	seen
be	seen	in
seen	in	the
in	the	caves
the	caves	of
caves	of	antiparos
of	antiparos	although
antiparos	although	this
although	this	attempt
this	attempt	was
attempt	was	unsuccessful
was	unsuccessful	the
unsuccessful	the	campaign
the	campaign	for
campaign	for	a
for	a	greek
a	greek	state
greek	state	continued
state	continued	into
continued	into	the
into	the	19th
the	19th	century
19th	century	and
century	and	began
and	began	to
began	to	grow
to	grow	in
grow	in	strength
in	strength	the
strength	the	aegean
the	aegean	islands
aegean	islands	played
islands	played	their
played	their	part
their	part	lesvos
part	lesvos	chios
lesvos	chios	and
chios	and	samos
and	samos	lay
samos	lay	in
lay	in	the
in	the	important
the	important	shipping
important	shipping	lanes
shipping	lanes	and
lanes	and	patriots
and	patriots	began
patriots	began	disrupting
began	disrupting	ottoman
disrupting	ottoman	cargo
ottoman	cargo	traffic
cargo	traffic	in
traffic	in	return
in	return	the
return	the	turks
the	turks	violently
turks	violently	put
violently	put	down
put	down	every
down	every	insurrection
every	insurrection	including
insurrection	including	the
including	the	massacre
the	massacre	on
massacre	on	chios
on	chios	when
chios	when	22
when	22	000
22	000	people
000	people	were
people	were	slaughtered
were	slaughtered	the
slaughtered	the	ottoman
the	ottoman	empire
ottoman	empire	was
empire	was	weakening
was	weakening	however
weakening	however	and
however	and	in
and	in	1821
in	1821	the
1821	the	peoples
the	peoples	of
peoples	of	the
of	the	greek
the	greek	mainland
greek	mainland	achieved
mainland	achieved	nationhood
achieved	nationhood	for
nationhood	for	the
for	the	first
the	first	time
first	time	the
time	the	cyclades
the	cyclades	and
cyclades	and	the
and	the	sporades
the	sporades	island
sporades	island	chains
island	chains	were
chains	were	also
were	also	included
also	included	in
included	in	this
in	this	new
this	new	state
new	state	a
state	a	new
a	new	sense
new	sense	of
sense	of	identity
of	identity	enveloped
identity	enveloped	greek
enveloped	greek	peoples
greek	peoples	throughout
peoples	throughout	the
throughout	the	aegean
the	aegean	thus
aegean	thus	commencing
thus	commencing	a
commencing	a	movement
a	movement	to
movement	to	expand
to	expand	greece
expand	greece	and
greece	and	unify
and	unify	the
unify	the	disparate
the	disparate	orthodox
disparate	orthodox	populations
orthodox	populations	the
populations	the	twentieth
the	twentieth	century
twentieth	century	a
century	a	series
a	series	of
series	of	disastrous
of	disastrous	decisions
disastrous	decisions	at
decisions	at	the
at	the	beginning
the	beginning	of
beginning	of	the
of	the	20th
the	20th	century
20th	century	began
century	began	to
began	to	sound
to	sound	a
sound	a	death
a	death	knell
death	knell	for
knell	for	the
for	the	ottoman
the	ottoman	empire
ottoman	empire	the
empire	the	turks
the	turks	lost
turks	lost	a
lost	a	short
a	short	war
short	war	with
war	with	italy
with	italy	and
italy	and	were
and	were	forced
were	forced	to
forced	to	relinquish
to	relinquish	the
relinquish	the	dodecanese
the	dodecanese	islands
dodecanese	islands	to
islands	to	the
to	the	italians
the	italians	greece
italians	greece	took
greece	took	this
took	this	opportunity
this	opportunity	to
opportunity	to	absorb
to	absorb	the
absorb	the	islands
the	islands	of
islands	of	the
of	the	northern
the	northern	and
northern	and	eastern
and	eastern	aegean
eastern	aegean	and
aegean	and	to
and	to	add
to	add	macedonia
add	macedonia	to
macedonia	to	its
to	its	mainland
its	mainland	territories
mainland	territories	following
territories	following	this
following	this	debacle
this	debacle	the
debacle	the	ottomans
the	ottomans	then
ottomans	then	allied
then	allied	themselves
allied	themselves	to
themselves	to	germany
to	germany	in
germany	in	the
in	the	world
the	world	war
world	war	i
war	i	losing
i	losing	more
losing	more	territory
more	territory	with
territory	with	the
with	the	defeat
the	defeat	of
defeat	of	the
of	the	germans
the	germans	in
germans	in	that
in	that	war
that	war	greece
war	greece	was
greece	was	handed
was	handed	a
handed	a	strip
a	strip	of
strip	of	land
of	land	along
land	along	the
along	the	western
the	western	coast
western	coast	of
coast	of	asia
of	asia	minor
asia	minor	which
minor	which	for
which	for	over
for	over	2
over	2	000
2	000	years
000	years	had
years	had	had
had	had	a
had	a	substantial
a	substantial	greek
substantial	greek	population
greek	population	greece
population	greece	moved
greece	moved	in
moved	in	to
in	to	administer
to	administer	the
administer	the	land
the	land	but
land	but	a
but	a	new
a	new	influence
new	influence	upset
influence	upset	any
upset	any	grand
any	grand	dreams
grand	dreams	of
dreams	of	making
of	making	this
making	this	region
this	region	a
region	a	part
a	part	of
part	of	greater
of	greater	greece
greater	greece	in
greece	in	1923
in	1923	turkey
1923	turkey	broke
turkey	broke	away
broke	away	from
away	from	the
from	the	tired
the	tired	ottoman
tired	ottoman	rulers
ottoman	rulers	and
rulers	and	kemal
and	kemal	ataturk
kemal	ataturk	rose
ataturk	rose	to
rose	to	power
to	power	on
power	on	a
on	a	wave
a	wave	of
wave	of	popular
of	popular	support
popular	support	he
support	he	promised
he	promised	a
promised	a	modern
a	modern	state
modern	state	for
state	for	his
for	his	people
his	people	but
people	but	as
but	as	the
as	the	situation
the	situation	became
situation	became	volatile
became	volatile	civil
volatile	civil	strife
civil	strife	broke
strife	broke	out
broke	out	in
out	in	turkish
in	turkish	cities
turkish	cities	and
cities	and	those
and	those	considered
those	considered	greek
considered	greek	were
greek	were	victims
were	victims	of
victims	of	threats
of	threats	and
threats	and	violence
and	violence	many
violence	many	had
many	had	to
had	to	leave
to	leave	their
leave	their	birthplaces
their	birthplaces	fleeing
birthplaces	fleeing	to
fleeing	to	lesvos
to	lesvos	chios
lesvos	chios	and
chios	and	samos
and	samos	the
samos	the	greek
the	greek	ruled
greek	ruled	islands
ruled	islands	just
islands	just	offshore
just	offshore	thousands
offshore	thousands	of
thousands	of	people
of	people	arrived
people	arrived	with
arrived	with	little
with	little	more
little	more	than
more	than	the
than	the	clothes
the	clothes	they
clothes	they	wore
they	wore	putting
wore	putting	great
putting	great	strain
great	strain	on
strain	on	the
on	the	resources
the	resources	of
resources	of	the
of	the	islands
the	islands	finally
islands	finally	greece
finally	greece	was
greece	was	ousted
was	ousted	from
ousted	from	its
from	its	new
its	new	territory
new	territory	in
territory	in	asia
in	asia	minor
asia	minor	which
minor	which	became
which	became	part
became	part	of
part	of	the
of	the	new
the	new	turkish
new	turkish	state
turkish	state	greece
state	greece	attempted
greece	attempted	to
attempted	to	stay
to	stay	out
stay	out	of
out	of	world
of	world	war
world	war	ii
war	ii	but
ii	but	mussolini
but	mussolini	saw
mussolini	saw	greece
saw	greece	as
greece	as	an
as	an	ideal
an	ideal	addition
ideal	addition	to
addition	to	his
to	his	italian
his	italian	empire
italian	empire	his
empire	his	forces
his	forces	made
forces	made	a
made	a	series
a	series	of
series	of	attacks
of	attacks	from
attacks	from	their
from	their	bases
their	bases	in
bases	in	the
in	the	dodecanese
the	dodecanese	islands
dodecanese	islands	including
islands	including	sinking
including	sinking	a
sinking	a	greek
a	greek	naval
greek	naval	vessel
naval	vessel	in
vessel	in	the
in	the	harbor
the	harbor	of
harbor	of	tinos
of	tinos	town
tinos	town	but
town	but	they
but	they	only
they	only	succeeded
only	succeeded	in
succeeded	in	strengthening
in	strengthening	the
strengthening	the	resolve
the	resolve	of
resolve	of	the
of	the	population
the	population	against
population	against	them
against	them	later
them	later	the
later	the	germans
the	germans	came
germans	came	in
came	in	force
in	force	and
force	and	occupied
and	occupied	many
occupied	many	of
many	of	the
of	the	islands
the	islands	after
islands	after	the
after	the	war
the	war	in
war	in	1949
in	1949	the
1949	the	dodecanese
the	dodecanese	islands
dodecanese	islands	finally
islands	finally	became
finally	became	part
became	part	of
part	of	the
of	the	greek
the	greek	nation
greek	nation	but
nation	but	the
but	the	country
the	country	was
country	was	politically
was	politically	fragmented
politically	fragmented	with
fragmented	with	arguments
with	arguments	between
arguments	between	monarchists
between	monarchists	and
monarchists	and	republicans
and	republicans	right
republicans	right	and
right	and	left
and	left	and
left	and	tension
and	tension	escalated
tension	escalated	into
escalated	into	civil
into	civil	war
civil	war	the
war	the	struggle
the	struggle	bypassed
struggle	bypassed	most
bypassed	most	of
most	of	the
of	the	islands
the	islands	although
islands	although	there
although	there	was
there	was	fierce
was	fierce	fighting
fierce	fighting	on
fighting	on	samos
on	samos	even
samos	even	after
even	after	the
after	the	fighting
the	fighting	stopped
fighting	stopped	more
stopped	more	than
more	than	a
than	a	decade
a	decade	later
decade	later	the
later	the	country
the	country	was
country	was	not
was	not	stable
not	stable	at
stable	at	the
at	the	same
the	same	time
same	time	the
time	the	massive
the	massive	growth
massive	growth	in
growth	in	air
in	air	and
air	and	road
and	road	transport
road	transport	saw
transport	saw	shipping
saw	shipping	decline
shipping	decline	in
decline	in	importance
in	importance	the
importance	the	aegean
the	aegean	islands
aegean	islands	which
islands	which	for
which	for	centuries
for	centuries	had
centuries	had	been
had	been	important
been	important	ports
important	ports	on
ports	on	the
on	the	trading
the	trading	routes
trading	routes	became
routes	became	the
became	the	backwaters
the	backwaters	of
backwaters	of	this
of	this	new
this	new	transport
new	transport	network
transport	network	and
network	and	the
and	the	economies
the	economies	of
economies	of	several
of	several	islands
several	islands	came
islands	came	close
came	close	to
close	to	collapse
to	collapse	in
collapse	in	1967
in	1967	the
1967	the	military
the	military	took
military	took	the
took	the	reins
the	reins	of
reins	of	power
of	power	in
power	in	athens
in	athens	and
athens	and	until
and	until	1974
until	1974	the
1974	the	colonels
the	colonels	held
colonels	held	sway
held	sway	with
sway	with	a
with	a	repressive
a	repressive	and
repressive	and	brutal
and	brutal	regime
brutal	regime	many
regime	many	greek
many	greek	islanders
greek	islanders	chose
islanders	chose	to
chose	to	leave
to	leave	rather
leave	rather	than
rather	than	live
than	live	in
live	in	poverty
in	poverty	and
poverty	and	terror
and	terror	and
terror	and	many
and	many	made
many	made	new
made	new	homes
new	homes	in
homes	in	the
in	the	united
the	united	states
united	states	and
states	and	australia
and	australia	the
australia	the	expansion
the	expansion	of
expansion	of	air
of	air	travel
air	travel	began
travel	began	the
began	the	age
the	age	of
age	of	mass
of	mass	tourism
mass	tourism	and
tourism	and	greece
and	greece	along
greece	along	with
along	with	the
with	the	aegean
the	aegean	islands
aegean	islands	became
islands	became	exciting
became	exciting	destinations
exciting	destinations	for
destinations	for	northern
for	northern	europeans
northern	europeans	escaping
europeans	escaping	their
escaping	their	damp
their	damp	cool
damp	cool	summers
cool	summers	in
summers	in	1982
in	1982	greece
1982	greece	joined
greece	joined	the
joined	the	european
the	european	common
european	common	market
common	market	now
market	now	the
now	the	european
the	european	union
european	union	since
union	since	this
